Ad Name,Account,Ad ID,Creative Type,Priority,Priority Score,CVR (%),CPA ($),Spend ($),Performance Rating,ROI Category,Hook Type,Hook Category,Campaign Season,Action Required,Notes,GitHub Asset URL,GitHub Raw URL,Download Status,Video File Extension,Created Date,Last Updated
11 Birthday Hook Agency WINNER,MakeMeJedi,120204695398070354,VIDEO,🥇 SCALE IMMEDIATELY,5,8.95,14.5,125.0,🔥 EXCEPTIONAL,💰 HIGH ROI,Birthday Hook,💝 EMOTIONAL,Birthday,Scale budget +200%,Transform birthday surprise - Strong performer,https://github.com/lac5q/creative-ads-repository/blob/main/MakeMeJedi/11_Birthday_Hook_Agency_WINNER.mp4,https://github.com/lac5q/creative-ads-repository/raw/main/MakeMeJedi/11_Birthday_Hook_Agency_WINNER.mp4,PENDING,.mp4,2025-06-24,2025-06-24 12:32:41
12 FD 2 Remake Long Time Ago,MakeMeJedi,120204514881640354,VIDEO,🥈 SCALE EXCELLENT,4,6.78,19.25,98.0,⭐ EXCELLENT,💚 PROFITABLE,Nostalgic Hook,📋 OTHER,Year-Round,Scale budget +100%,A long time ago in a galaxy far away,https://github.com/lac5q/creative-ads-repository/blob/main/MakeMeJedi/12_FD_2_Remake_Long_Time_Ago.mp4,https://github.com/lac5q/creative-ads-repository/raw/main/MakeMeJedi/12_FD_2_Remake_Long_Time_Ago.mp4,PENDING,.mp4,2025-06-24,2025-06-24 12:32:41
13 Fathers Day Edited S1 2025,MakeMeJedi,120228278851630354,VIDEO,🥈 SCALE EXCELLENT,4,5.43,23.5,67.0,⭐ EXCELLENT,💚 PROFITABLE,Father's Day,💝 EMOTIONAL,Father's Day,Scale budget +100%,Imagine Dad's face - June 2025,https://github.com/lac5q/creative-ads-repository/blob/main/MakeMeJedi/13_Fathers_Day_Edited_S1_2025.mp4,https://github.com/lac5q/creative-ads-repository/raw/main/MakeMeJedi/13_Fathers_Day_Edited_S1_2025.mp4,PENDING,.mp4,2025-06-24,2025-06-24 12:32:41
14 Fathers Day Portrait GIF,MakeMeJedi,120228278851730354,GIF,🟡 TEST SCALE,3,4.21,28.75,45.0,✅ GOOD,📈 SCALING,Portrait GIF,📋 OTHER,Father's Day,Test with higher budget,Imagine Dad's face - GIF format,https://github.com/lac5q/creative-ads-repository/blob/main/MakeMeJedi/14_Fathers_Day_Portrait_GIF.gif,https://github.com/lac5q/creative-ads-repository/raw/main/MakeMeJedi/14_Fathers_Day_Portrait_GIF.gif,PENDING,.gif,2025-06-24,2025-06-24 12:32:41
15 Early BF 75 Percent Off,MakeMeJedi,120215085545760354,VIDEO,🟡 TEST SCALE,3,3.87,32.0,78.0,✅ GOOD,📈 SCALING,Discount Hook,⚡ URGENCY,Black Friday,Test with higher budget,Enjoy up to 75% OFF - Early Black Friday,https://github.com/lac5q/creative-ads-repository/blob/main/MakeMeJedi/15_Early_BF_75_Percent_Off.mp4,https://github.com/lac5q/creative-ads-repository/raw/main/MakeMeJedi/15_Early_BF_75_Percent_Off.mp4,PENDING,.mp4,2025-06-24,2025-06-24 12:32:41
16 Replicate Winning V1 PDP,MakeMeJedi,120228103625330354,VIDEO,🟡 TEST SCALE,3,3.45,35.5,52.0,✅ GOOD,📈 SCALING,Winning Replica,📋 OTHER,Father's Day,Test with higher budget,This Father's Day - PDP version,https://github.com/lac5q/creative-ads-repository/blob/main/MakeMeJedi/16_Replicate_Winning_V1_PDP.mp4,https://github.com/lac5q/creative-ads-repository/raw/main/MakeMeJedi/16_Replicate_Winning_V1_PDP.mp4,PENDING,.mp4,2025-06-24,2025-06-24 12:32:41
17 Replicate Winning V2 PDP,MakeMeJedi,120228104008710354,VIDEO,🟡 TEST SCALE,3,3.12,38.0,48.0,✅ GOOD,📈 SCALING,Winning Replica,📋 OTHER,Year-Round,Test with higher budget,A long time ago - PDP version,https://github.com/lac5q/creative-ads-repository/blob/main/MakeMeJedi/17_Replicate_Winning_V2_PDP.mp4,https://github.com/lac5q/creative-ads-repository/raw/main/MakeMeJedi/17_Replicate_Winning_V2_PDP.mp4,PENDING,.mp4,2025-06-24,2025-06-24 12:32:41
18 Valentines Day Reaction,MakeMeJedi,120205316284580354,VIDEO,🔵 ARCHIVE WINNER,1,7.23,16.75,156.0,⭐ EXCELLENT,💚 PROFITABLE,Valentine's Hook,💝 EMOTIONAL,Valentine's Day,Use for creative inspiration,This Valentine's Day - Historical winner,https://github.com/lac5q/creative-ads-repository/blob/main/MakeMeJedi/18_Valentines_Day_Reaction.mp4,https://github.com/lac5q/creative-ads-repository/raw/main/MakeMeJedi/18_Valentines_Day_Reaction.mp4,PENDING,.mp4,2025-06-24,2025-06-24 12:32:41
19 BF 3 Remake Make Laugh,MakeMeJedi,120204475677390354,VIDEO,🔵 ARCHIVE WINNER,1,6.89,18.5,145.0,⭐ EXCELLENT,💚 PROFITABLE,Humor Hook,🎨 CREATIVE,Black Friday,Use for creative inspiration,Make anyone laugh - Historical winner,https://github.com/lac5q/creative-ads-repository/blob/main/MakeMeJedi/19_BF_3_Remake_Make_Laugh.mp4,https://github.com/lac5q/creative-ads-repository/raw/main/MakeMeJedi/19_BF_3_Remake_Make_Laugh.mp4,PENDING,.mp4,2025-06-24,2025-06-24 12:32:41
20 Fathers Day Mashup 2024,MakeMeJedi,120210978877990354,VIDEO,🔵 ARCHIVE WINNER,1,5.67,21.25,123.0,⭐ EXCELLENT,💚 PROFITABLE,Mashup Hook,📋 OTHER,Father's Day,Use for creative inspiration,This Father's Day 2024 - Mashup format,https://github.com/lac5q/creative-ads-repository/blob/main/MakeMeJedi/20_Fathers_Day_Mashup_2024.mp4,https://github.com/lac5q/creative-ads-repository/raw/main/MakeMeJedi/20_Fathers_Day_Mashup_2024.mp4,PENDING,.mp4,2025-06-24,2025-06-24 12:32:41
